EURING,Species 
0,Species unknown
10,Struthio camelus
20,Gavia stellata
21,Gavia stellata stellata
22,Gavia stellata squamata
30,Gavia arctica
31,Gavia arctica arctica
32,Gavia arctica viridigularis
33,Gavia arctica pacifica
40,Gavia immer
50,Gavia adamsii
59,Gavia sp.
60,Podilymbus podiceps
70,Tachybaptus ruficollis
80,Tachybaptus dominicus
90,Podiceps cristatus
100,Podiceps grisegena
110,Podiceps auritus
120,Podiceps nigricollis
129,Podiceps sp.
130,Aechmophorus occidentalis
140,Diomedea melanophris
150,Diomedea chlororhynchos
160,Diomedea cauta
170,Diomedea nigripes
180,Diomedea immutabilis
190,Diomedea albatrus
200,Diomedea exulans
210,Macronectes giganteus
220,Fulmarus glacialis
221,Fulmarus glacialis glacialis
230,Daption capense
240,Pterodroma arminjoniana
250,Pterodroma neglecta
260,Pterodroma mollis/feae/madeira
261,Pterodroma mollis
262,Pterodroma feae
263,Pterodroma madeira
270,Pterodroma inexpectata
280,Pterodroma solandri
290,Pterodroma hasitata
300,Pterodroma hypoleuca
310,Pterodroma cookii
320,Pterodroma longirostris
330,Pterodroma leucoptera
340,Bulweria bulwerii
350,Bulweria fallax
360,Calonectris diomedea
362,Calonectris edwardsii
370,Calonectris leucomelas
380,Puffinus carneipes
390,Puffinus creatopus
400,Puffinus gravis
410,Puffinus pacificus
420,Puffinus bulleri
430,Puffinus griseus
440,Puffinus tenuirostris
450,Puffinus nativitatis
460,Puffinus puffinus
461,Puffinus puffinus puffinus
462,Puffinus puffinus yelkouan
463,Puffinus puffinus mauretanicus
470,Puffinus auricularis
480,Puffinus assimilis
481,Puffinus assimilis assimilis
482,Puffinus assimilis baroli
483,Puffinus assimilis boydi
484,Puffinus assimilis persicus
485,Puffinus assimilis bannermani
490,Puffinus lherminieri
491,Puffinus bailloni
499,Puffinus sp.
500,Oceanites oceanicus
510,Pelagodroma marina
520,Hydrobates pelagicus
521,Hydrobates pelagicus pelagicus
522,Hydrobates pelagicus melitensis
530,Halocyptena microsoma
540,Oceanodroma furcata
550,Oceanodroma leucorhoa
560,Oceanodroma monorhis
570,Oceanodroma homochroa
580,Oceanodroma castro
581,Oceanodroma monteiroi
590,Oceanodroma tethys
600,Oceanodroma melania
610,Oceanodroma matsudairae
620,Oceanodroma macrodactyla
630,Oceanodroma tristrami
639,Oceanodroma sp.
640,Phaethon aethereus
650,Phaethon rubricauda
660,Phaethon lepturus
670,Sula sula
680,Sula dactylatra
690,Sula nebouxii
700,Sula leucogaster
710,Sula bassana
712,Sula bassana capensis
720,Phalacrocorax carbo
721,Phalacrocorax carbo carbo
722,Phalacrocorax carbo sinensis
730,Phalacrocorax capillatus
740,Phalacrocorax perspicillatus
750,Phalacrocorax pelagicus
760,Phalacrocorax urile
770,Phalacrocorax penicillatus
780,Phalacrocorax auritus
790,Phalacrocorax olivaceus
800,Phalacrocorax aristotelis
801,Phalacrocorax aristotelis aristotelis
802,Phalacrocorax aristotelis desmarestii
810,Phalacrocorax nigrogularis
820,Phalacrocorax pygmeus
830,Phalacrocorax africanus
840,Phalacrocorax niger
849,Phalacrocorax sp.
850,Anhinga anhinga
860,Anhinga melanogaster
870,Pelecanus erythrorhynchos
880,Pelecanus onocrotalus
890,Pelecanus crispus
900,Pelecanus rufescens
910,Pelecanus occidentalis
919,Pelecanus sp.
920,Fregata minor
930,Fregata magnificens
940,Fregata ariel
950,Botaurus stellaris
960,Botaurus lentiginosus
970,Ixobrychus exilis
980,Ixobrychus minutus
990,Ixobrychus sinensis
1000,Ixobrychus eurhythmus
1010,Ixobrychus cinnamomeus
1020,Ardeirallus sturmii
1030,Gorsachius goisagi
1040,Nycticorax nycticorax
