STAZIONE,DATA,LOCALITA,RICATTURA,ORA,ANELLO,EURING,ALA_1,PESO,ALA_2,ETA,SESSO,GRASSO,MUSCOLO,EFFORT,CATCH
Ponza,20230226,1,0,9,71A3783,12670,0,109,420,5,2,1,2,,1
Ponza,20230226,1,0,9,71A3784,11390,0,132,490,5,1,1,2,,1
Ponza,20230226,1,0,9,43J566,13150,0,52,415,4,1,2,2,,1
Ponza,20230226,1,0,10,43J567,13110,0,75,480,6,0,2,2,,1
Ponza,20230226,1,0,10,LJ05648,12770,0,189,570,6,2,3,2,,1
Ponza,20230226,1,0,10,71A3785,11210,0,140,630,5,0,2,1,,1
Ponza,20230226,1,0,11,71A3786,12670,0,115,415,6,2,2,2,,1
Ponza,20230226,1,0,13,43J568,13110,0,67,410,6,0,2,2,,1
Ponza,20230226,1,0,13,43J569,13110,0,85,470,5,0,3,2,,1
Ponza,20230227,1,0,8,43J570,13110,0,77,445,6,0,3,2,,1
Ponza,20230227,1,0,8,71A3787,12670,0,106,430,5,1,2,2,,1
Ponza,20230227,1,0,9,71A3788,12670,0,107,440,5,1,0,1,,1
Ponza,20230227,1,0,9,43J571,13110,0,76,470,6,0,2,2,,1
Ponza,20230227,1,0,9,43J572,13110,0,71,465,6,0,0,1,,1
Ponza,20230227,1,0,10,43J573,13110,0,73,505,6,0,0,2,,1
Ponza,20230227,1,0,11,43J574,13110,0,72,460,5,0,2,2,,1
Ponza,20230227,1,0,12,43J575,13110,0,73,490,6,0,2,2,,1
Ponza,20230227,1,1,12,42A7444,12670,0,125,460,6,2,2,2,,1
Ponza,20230227,1,0,14,71A3789,12670,0,116,420,5,1,2,2,,1
Ponza,20230227,1,0,16,71A3790,12670,0,120,450,5,1,2,2,,1
Ponza,20230227,1,0,16,43J576,13110,0,76,470,5,0,3,2,,1
Ponza,20230227,1,1,17,60A8525,12670,0,124,440,6,1,2,2,,1
Ponza,20230227,1,0,18,71A3792,10840,0,177,500,5,0,2,2,,1
Ponza,20230228,1,0,6,H215976,07390,1670,933,0,6,0,,1,,1
Ponza,20230228,1,0,6,71A3793,12670,0,117,440,5,2,1,1,,1
Ponza,20230228,1,0,11,71A3791,10990,0,163,540,6,0,1,1,,1
Ponza,20230301,1,0,8,71A3794,10840,0,190,490,5,0,3,3,,1
Ponza,20230301,1,0,10,LJ05649,12770,0,160,590,6,1,2,2,,1
Ponza,20230302,1,1,14,64A4424,12670,0,122,445,6,1,3,2,,1
Ponza,20230303,1,0,9,LJ05650,12770,0,195,565,5,1,5,3,,1
Ponza,20230304,1,0,6,71A3795,10990,0,147,550,6,0,3,3,,1
Ponza,20230304,1,0,6,Z512859,12000,0,694,900,6,0,3,2,,1
Ponza,20230304,1,0,10,43J577,13110,0,80,475,6,0,2,2,,1
Ponza,20230304,1,1,12,64A4449,10840,0,187,510,6,0,2,3,,1
Ponza,20230304,1,0,12,LJ05651,12770,0,228,590,6,2,6,3,,1
Ponza,20230304,1,0,13,LJ05652,12770,0,153,570,5,2,1,2,,1
Ponza,20230304,1,0,13,LJ05653,12770,0,181,580,6,2,5,3,,1
Ponza,20230304,1,0,16,43J578,13110,0,64,410,5,0,2,3,,1
Ponza,20230304,1,0,16,43J579,16400,0,82,570,6,1,2,2,,1
Ponza,20230304,1,0,16,71A3796,10010,0,233,815,4,0,3,3,,1
Ponza,20230305,1,0,6,LJ05654,16360,0,207,715,6,1,2,2,,1
Ponza,20230305,1,0,6,LJ05655,12770,0,200,580,5,1,4,3,,1
Ponza,20230305,1,0,8,71A3797,12670,0,118,450,6,2,2,2,,1
Ponza,20230305,1,0,11,71A3798,10990,0,150,550,6,0,1,2,,1
Ponza,20230305,1,0,11,71A3799,11210,0,160,655,5,1,3,2,,1
Ponza,20230305,1,0,12,43J580,13110,0,74,465,5,0,2,2,,1
Ponza,20230306,1,0,6,Z512860,12000,0,594,920,6,0,1,2,,1
Ponza,20230306,1,0,6,Z512861,12000,0,752,900,6,0,3,2,,1
Ponza,20230306,1,0,8,43J581,16400,0,113,530,6,2,3,3,,1
Ponza,20230306,1,0,8,SG45549,15820,0,912,970,6,1,4,2,,1
Ponza,20230306,1,0,9,71A3800,10840,0,236,525,6,0,5,3,,1
Ponza,20230306,1,0,9,71A3801,10110,0,143,630,6,0,1,1,,1
Ponza,20230306,1,0,10,71A3802,12670,0,116,440,5,1,2,2,,1
Ponza,20230306,1,0,10,LJ05656,12770,0,176,560,6,1,3,3,,1
Ponza,20230306,1,0,11,71A3803,12670,0,123,440,6,2,2,3,,1
Ponza,20230306,1,0,12,71A3804,10990,0,151,550,6,0,2,2,,1
Ponza,20230306,1,0,18,43J582,13110,0,76,460,5,0,3,2,,1
Ponza,20230307,1,0,6,Z512862,12000,0,608,860,6,0,2,2,,1
Ponza,20230307,1,0,7,71A3805,12670,0,106,430,6,2,0,2,,1
Ponza,20230307,1,0,7,71A3806,12670,0,126,460,6,2,2,2,,1
Ponza,20230307,1,0,7,71A3807,11210,0,142,675,5,0,0,2,,1
Ponza,20230307,1,0,9,71A3808,12670,0,112,430,5,2,1,2,,1
Ponza,20230307,1,0,10,71A3809,10990,0,156,540,6,0,1,1,,1
Ponza,20230307,1,0,13,SG45550,11870,0,986,940,6,2,4,2,,1
Ponza,20230308,1,0,6,Z512863,12000,0,703,905,6,0,4,2,,1
Ponza,20230308,1,0,6,Z512864,12000,0,769,930,6,0,5,2,,1
Ponza,20230308,1,0,7,43J583,13110,0,65,480,5,0,0,2,,1
Ponza,20230308,1,0,7,71A3810,10990,0,166,560,6,0,0,2,,1
Ponza,20230308,1,0,7,71A3811,11390,0,131,490,5,2,2,2,,1
Ponza,20230308,1,0,9,71A3812,10990,0,184,550,6,0,4,2,,1
Ponza,20230308,1,0,11,LJ05657,12770,0,188,570,5,1,4,3,,1
Ponza,20230308,1,0,12,71A3813,10990,0,175,545,6,0,3,2,,1
Ponza,20230308,1,0,13,71A3814,12670,0,113,435,6,2,1,2,,1
Ponza,20230308,1,0,15,43J584,13110,0,84,440,5,0,2,2,,1
Ponza,20230308,1,0,18,71A3815,10990,0,176,540,5,0,2,2,,1
Ponza,20230308,1,0,18,71A3816,10990,0,123,535,5,0,1,1,,1
Ponza,20230308,1,0,18,71A3817,10990,0,138,560,6,0,0,1,,1
Ponza,20230308,1,0,18,71A3818,10990,0,167,560,5,0,2,2,,1
Ponza,20230309,1,0,6,Z512865,12000,0,815,900,5,0,5,2,,1
Ponza,20230309,1,0,6,71A3819,12670,0,119,470,6,2,2,2,,1
Ponza,20230309,1,0,6,71A3820,11390,0,113,510,5,1,0,2,,1
Ponza,20230309,1,0,7,LJ05658,12770,0,200,580,5,1,6,3,,1
Ponza,20230309,1,0,8,71A3821,09920,0,181,995,4,2,2,2,,1
Ponza,20230309,1,0,9,43J585,13110,0,72,450,5,0,1,2,,1
Ponza,20230309,1,0,9,43J586,12640,0,84,410,6,1,1,2,,1
Ponza,20230309,1,0,10,71A3822,11390,0,139,480,5,2,2,2,,1
Ponza,20230309,1,1,10,60A5354,12670,0,125,450,6,2,1,2,,1
Ponza,20230309,1,0,11,71A3823,10990,0,144,535,5,0,2,2,,1
Ponza,20230309,1,0,11,43J587,13110,0,85,470,5,0,5,2,,1
Ponza,20230309,1,0,11,43J588,13110,0,71,450,6,0,2,2,,1
Ponza,20230309,1,0,12,71A3824,10990,0,181,575,6,0,3,2,,1
Ponza,20230309,1,0,12,71A3825,11210,0,157,640,6,1,3,2,,1
Ponza,20230309,1,0,12,LJ05659,12770,0,232,585,5,2,6,3,,1
Ponza,20230309,1,0,12,LJ05660,12770,0,175,580,5,1,5,3,,1
Ponza,20230309,1,0,13,71A3826,10990,0,200,555,5,0,5,3,,1
Ponza,20230309,1,0,14,71A3827,10990,0,156,530,5,0,2,2,,1
Ponza,20230309,1,0,14,43J589,13110,0,75,485,5,0,2,2,,1
Ponza,20230309,1,0,14,43J590,13110,0,81,490,5,0,3,2,,1
Ponza,20230309,1,0,15,43J591,13110,0,67,515,6,0,2,2,,1
Ponza,20230309,1,0,15,71A3828,11390,0,178,510,6,1,5,3,,1
Ponza,20230311,1,0,9,71A3829,10990,0,158,555,6,0,2,2,,1
Ponza,20230311,1,0,9,71A3830,11210,0,145,655,5,1,0,2,,1
Ponza,20230311,1,0,9,71A3831,11210,0,151,660,6,1,3,2,,1
Ponza,20230311,1,0,9,43J592,12651,0,94,475,6,2,0,2,,1
Ponza,20230311,1,0,9,43J593,12651,0,88,470,6,1,1,2,,1
Ponza,20230311,1,0,10,71A3832,11210,0,152,665,6,2,1,2,,1
Ponza,20230311,1,0,10,71A3833,11210,0,118,665,6,1,2,2,,1
Ponza,20230311,1,0,10,SG45551,11660,0,604,930,5,1,1,2,,1
Ponza,20230311,1,0,10,Z512866,12000,0,634,855,5,0,3,2,,1
Ponza,20230311,1,0,10,43J594,13110,0,80,490,6,0,4,3,,1
Ponza,20230311,1,0,10,43J595,13110,0,76,470,5,0,3,2,,1
Ponza,20230311,1,0,10,43J596,13110,0,81,490,6,0,4,3,,1
Ponza,20230311,1,0,10,43J597,13110,0,82,460,5,0,4,3,,1
Ponza,20230311,1,0,10,43J598,13110,0,80,445,5,0,3,2,,1
Ponza,20230311,1,0,10,43J599,13110,0,70,475,5,0,2,2,,1
Ponza,20230311,1,0,11,43J600,13110,0,77,450,5,0,3,2,,1
Ponza,20230311,1,0,11,43J601,13110,0,93,490,5,0,5,2,,1
Ponza,20230311,1,0,11,43J602,13110,0,89,490,6,0,4,2,,1
Ponza,20230311,1,0,11,43J603,13110,0,87,460,5,0,5,3,,1
Ponza,20230311,1,0,11,43J604,13110,0,70,450,5,0,1,2,,1
Ponza,20230311,1,0,11,71A3834,10990,0,179,570,5,0,2,2,,1
Ponza,20230311,1,0,12,71A3835,11210,0,170,660,5,1,3,2,,1
Ponza,20230311,1,0,12,71A3836,11210,0,163,660,5,0,3,2,,1
Ponza,20230311,1,0,12,71A3837,11210,0,163,650,5,0,3,2,,1
Ponza,20230311,1,0,12,71A3838,10990,0,200,550,5,0,4,2,,1
Ponza,20230311,1,0,12,43J605,13110,0,76,475,5,0,2,2,,1
Ponza,20230311,1,0,12,43J606,13110,0,79,480,5,0,2,2,,1
Ponza,20230311,1,0,12,LJ05661,12770,0,176,590,5,1,2,2,,1
Ponza,20230311,1,0,13,43J607,13110,0,87,470,5,0,4,2,,1
Ponza,20230311,1,0,13,71A3839,10990,0,163,550,5,0,2,3,,1
Ponza,20230311,1,0,13,71A3840,10010,0,151,760,4,0,2,2,,1
Ponza,20230311,1,0,13,71A3841,10010,0,156,810,4,0,2,2,,1
Ponza,20230311,1,0,13,71A3842,10010,0,144,800,4,0,2,2,,1
Ponza,20230311,1,0,13,71A3843,10010,0,152,800,4,0,2,2,,1
Ponza,20230311,1,0,13,71A3844,09920,0,186,940,4,1,3,2,,1
Ponza,20230311,1,0,14,71A3845,10990,0,196,540,6,0,5,2,,1
Ponza,20230311,1,0,14,71A3846,10990,0,185,575,6,0,4,2,,1
Ponza,20230311,1,0,14,43J608,13110,0,74,485,6,0,3,2,,1
Ponza,20230311,1,0,15,71A3847,12670,0,115,450,6,1,2,2,,1
Ponza,20230311,1,0,15,71A3848,09920,0,198,930,4,1,3,2,,1
Ponza,20230311,1,0,16,71A3849,12670,0,111,445,6,1,2,2,,1
Ponza,20230311,1,0,16,43J609,13110,0,81,455,5,0,3,2,,1
Ponza,20230311,1,0,17,71A3850,10010,0,158,810,4,0,2,2,,1
Ponza,20230311,1,0,17,43J610,13110,0,85,495,5,0,4,2,,1
Ponza,20230311,1,0,18,71A3851,10010,0,145,820,4,0,1,2,,1
Ponza,20230311,1,0,18,71A3852,09920,0,161,940,4,2,0,1,,1
Ponza,20230311,1,0,18,71A3853,10010,0,174,840,4,0,2,2,,1
Ponza,20230311,1,0,18,71A3854,11210,0,153,665,5,0,2,2,,1
Ponza,20230311,1,0,18,43J611,13110,0,71,455,5,0,2,2,,1
Ponza,20230311,1,0,18,43J612,12651,0,94,495,5,1,2,2,,1
Ponza,20230312,1,0,6,Z512867,12000,0,660,910,5,0,3,2,,1
Ponza,20230312,1,0,6,Z512868,12000,0,706,885,5,0,5,2,,1
Ponza,20230312,1,0,6,Z512869,12000,0,709,880,6,0,4,2,,1
Ponza,20230312,1,0,6,Z512870,12000,0,703,870,5,0,3,2,,1
Ponza,20230312,1,0,6,Z512871,12000,0,650,875,5,0,2,2,,1
Ponza,20230312,1,0,6,H215977,07390,1610,769,0,5,0,,1,,1
Ponza,20230312,1,0,6,71A3855,12670,0,106,435,5,2,1,2,,1
Ponza,20230312,1,0,6,71A3856,10990,0,154,540,5,0,0,2,,1
Ponza,20230312,1,0,6,71A3857,11210,0,140,650,6,2,2,2,,1
Ponza,20230312,1,0,6,LJ05662,15912,0,268,610,4,1,2,2,,1
Ponza,20230312,1,0,7,71A3858,10990,0,165,580,6,0,2,2,,1
Ponza,20230312,1,0,7,71A3859,10990,0,182,540,6,0,3,2,,1
Ponza,20230312,1,0,8,71A3860,10990,0,182,565,5,0,4,3,,1
Ponza,20230312,1,0,8,71A3861,10990,0,161,540,6,0,3,2,,1
Ponza,20230312,1,0,8,71A3862,10990,0,177,560,6,0,4,2,,1
Ponza,20230312,1,0,9,LJ05663,12770,0,163,575,6,2,1,2,,1
Ponza,20230312,1,0,9,43J613,13110,0,77,470,5,0,3,2,,1
Ponza,20230312,1,0,10,43J614,13110,0,82,500,6,0,4,2,,1
Ponza,20230312,1,0,11,71A3863,12670,0,120,445,5,2,0,2,,1
Ponza,20230312,1,0,11,71A3864,12670,0,113,440,5,2,1,2,,1
Ponza,20230312,1,0,12,43J615,13110,0,75,470,5,0,3,2,,1
Ponza,20230312,1,0,12,LJ05664,12770,0,182,540,6,2,3,3,,1
Ponza,20230312,1,0,13,LJ05665,16360,0,198,620,5,2,3,2,,1
Ponza,20230312,1,0,18,SG45552,15820,0,773,995,6,1,2,2,,1
Ponza,20230312,1,0,18,SG45553,15820,0,758,980,5,1,2,2,,1
Ponza,20230312,1,0,18,SG45554,15820,0,709,950,6,2,2,2,,1
Ponza,20230312,1,0,18,SG45555,15820,0,764,980,6,1,2,2,,1
Ponza,20230313,1,0,6,Z512872,12000,0,558,935,5,0,0,2,,1
