STAZIONE,DATA,LOCALITA,RICATTURA,ORA,ANELLO,EURING,ALA_1,PESO,ALA_2,ETA,SESSO,GRASSO,MUSCOLO,EFFORT,CATCH
Ponza,20020428,1,0,0,0,6870,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,8400,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,8460,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,8480,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,9920,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,10090,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,10990,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,11040,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,11220,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,11370,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,11460,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,11480,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,12000,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,12430,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,12530,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,12590,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,12650,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,12750,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,12760,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,12770,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,13080,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,13110,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,13120,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,13350,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,13480,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,13490,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,15080,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,15230,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,11390,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,11210,0,0,0,0,0,0,0,60,0
Ponza,20020428,1,0,0,0,12530,0,0,0,0,0,0,0,60,0
Ponza,20020429,1,0,0,0,6870,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,8400,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,8460,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,8480,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,9920,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,10090,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,10990,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,11040,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,11220,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,11370,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,11460,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,11480,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,12000,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,12430,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,12530,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,12590,0,0,0,0,0,0,0,180,0
Ponza,20020429,1,0,0,0,12650,0,0,0,0,0,0,0,180,0
