STAZIONE,DATA,LOCALITA,RICATTURA,ORA,ANELLO,EURING,ALA_1,PESO,ALA_2,ETA,SESSO,GRASSO,MUSCOLO,EFFORT,CATCH
Ponza,20240227,1,0,10, 80A1300,12670,0,118,425,6,1,2,2,,1
Ponza,20240227,1,0,10, 80A1301,12670,0,113,430,5,2,0,2,,1
Ponza,20240227,1,0,10, 80A1302,12670,0,123,430,6,2,2,2,,1
Ponza,20240227,1,0,11, 80A1303,10990,0,163,535,5,0,2,2,,1
Ponza,20240227,1,0,11, 80A1304,10990,0,162,535,5,0,2,2,,1
Ponza,20240227,1,0,11, 80A1305,10990,0,164,530,5,0,2,2,,1
Ponza,20240227,1,0,11, 80A1306,11210,0,142,630,5,0,2,2,,1
Ponza,20240227,1,0,13, 80A1307,10990,0,156,555,5,0,1,2,,1
Ponza,20240227,1,1,13, 71A3787,12670,0,118,455,6,1,3,2,,1
Ponza,20240227,1,0,16, 80A1309,12670,0,109,450,5,1,3,2,,1
Ponza,20240228,1,0,10, 80A1310,10990,0,151,520,5,0,2,2,,1
Ponza,20240228,1,0,10, 80A1311,9920,0,203,990,4,1,2,2,,1
Ponza,20240228,1,1,11,  43J650,12670,0,120,440,6,2,2,3,,1
Ponza,20240228,1,0,11,  76J136,13110,0,74,450,5,0,2,2,,1
Ponza,20240228,1,0,11,  76J137,13110,0,93,485,5,0,3,2,,1
Ponza,20240228,1,0,12,  76J138,13110,0,80,450,5,0,2,2,,1
Ponza,20240228,1,0,12, LJ83047,12770,0,193,560,6,2,3,2,,1
Ponza,20240228,1,0,12, LJ83048,12770,0,191,590,5,2,4,2,,1
Ponza,20240228,1,0,13, SG45341,11870,0,946,940,5,2,2,2,,1
Ponza,20240228,1,0,13, 80A1312,10840,0,0,495,5,0,1,2,,1
Ponza,20240228,1,0,14, LJ83049,16360,0,234,670,6,1,2,2,,1
Ponza,20240229,1,0,12, 80A1313,12670,0,124,430,5,2,2,2,,1
Ponza,20240229,1,0,12, 80A1314,10010,0,127,780,4,0,0,1,,1
Ponza,20240229,1,0,13, 80A1315,12670,0,119,450,6,2,2,2,,1
Ponza,20240229,1,0,13, 80A1316,10990,0,161,550,6,0,3,2,,1
Ponza,20240229,1,0,13, 80A1317,11390,0,161,485,5,1,3,3,,1
Ponza,20240229,1,0,13, 80A1318,10010,0,151,870,4,0,1,2,,1
Ponza,20240229,1,0,13, 80A1319,10840,0,185,480,5,0,2,2,,1
Ponza,20240229,1,0,14, 80A1320,11390,0,185,490,5,1,5,3,,1
Ponza,20240229,1,0,17, 80A1321,12670,0,127,445,6,2,2,2,,1
Ponza,20240229,1,0,17, 80A1322,12670,0,109,415,6,1,2,2,,1
Ponza,20240229,1,0,17,  76J139,13110,0,78,480,6,0,4,3,,1
Ponza,20240229,1,0,17, LJ83050,12770,0,186,540,6,2,5,3,,1
Ponza,20240301,1,0,13, 80A1323,11210,0,165,630,6,1,3,2,,1
Ponza,20240302,1,0,10, Z513060,12020,0,810,1110,6,0,0,1,,1
Ponza,20240302,1,1,11,  15J722,16400,0,118,565,6,1,2,2,,1
Ponza,20240302,1,0,13, 80A1324,11210,0,158,650,6,1,2,2,,1
Ponza,20240302,1,0,16, 80A1325,10010,0,147,790,4,0,2,1,,1
Ponza,20240302,1,0,18, 80A1326,10840,0,171,520,5,0,1,2,,1
Ponza,20240303,1,0,6, 80A1327,10990,0,171,550,6,0,3,2,,1
Ponza,20240303,1,0,6, 80A1328,10990,0,165,530,5,0,0,2,,1
Ponza,20240303,1,0,6, 80A1329,10990,0,168,540,6,0,0,1,,1
Ponza,20240303,1,0,8, 80A1330,12670,0,103,435,6,2,1,2,,1
Ponza,20240304,1,0,9, 80A1331,10840,0,192,500,6,0,1,2,,1
Ponza,20240304,1,0,9, 80A1332,10990,0,159,550,5,0,1,2,,1
Ponza,20240304,1,0,9, LJ83051,12770,0,169,550,5,1,3,2,,1
Ponza,20240304,1,0,9,  76J140,16400,0,114,570,6,1,2,2,,1
Ponza,20240304,1,0,10,  76J141,13110,0,72,470,5,0,0,2,,1
Ponza,20240304,1,0,10,  76J142,13110,0,80,470,5,0,3,2,,1
Ponza,20240304,1,0,15,  76J143,13110,0,70,440,5,0,1,2,,1
Ponza,20240304,1,0,17,  76J144,16400,0,122,555,6,1,4,2,,1
Ponza,20240304,1,0,17, Z513061,12000,0,678,895,5,0,0,2,,1
Ponza,20240305,1,0,8, 80A1333,12670,0,121,430,5,2,0,2,,1
Ponza,20240305,1,0,9, 80A1334,10990,0,168,540,5,0,0,2,,1
Ponza,20240305,1,0,9, LJ83052,12770,0,171,585,5,1,2,1,,1
Ponza,20240305,1,0,10,  76J145,13140,0,55,430,5,1,2,2,,1
Ponza,20240305,1,0,11, 80A1335,12670,0,119,445,6,2,1,2,,1
Ponza,20240305,1,0,15,  76J146,13110,0,70,465,5,0,2,2,,1
Ponza,20240307,1,0,7, SG45342,15820,0,827,985,5,1,2,2,,1
Ponza,20240307,1,0,7, Z513062,12000,0,616,915,6,0,0,1,,1
Ponza,20240307,1,0,7, Z513063,12000,0,759,860,6,0,2,2,,1
Ponza,20240307,1,0,9,  76J147,13110,0,62,400,6,0,0,2,,1
Ponza,20240307,1,0,10,  76J148,13110,0,94,480,5,0,3,2,,1
Ponza,20240307,1,0,11,  76J149,13110,0,68,468,5,0,0,2,,1
Ponza,20240307,1,0,11, SG45343,15820,0,708,945,6,2,3,2,,1
Ponza,20240307,1,0,11, SG45344,15820,0,820,955,5,1,3,2,,1
Ponza,20240307,1,0,11, SG45345,15820,0,821,990,6,1,4,2,,1
Ponza,20240307,1,0,11, SG45346,15820,0,824,955,5,2,3,2,,1
Ponza,20240307,1,0,11, SG45347,15820,0,798,970,6,2,3,1,,1
Ponza,20240307,1,0,11, SG45348,15820,0,750,1000,6,1,1,2,,1
Ponza,20240307,1,0,12, SG45349,11870,0,897,1000,6,1,1,2,,1
Ponza,20240307,1,0,12, 80A1336,10990,0,157,540,5,0,1,2,,1
Ponza,20240307,1,0,12,  76J150,13110,0,73,470,5,0,0,2,,1
Ponza,20240307,1,0,14,  76J151,13110,0,78,450,5,0,3,2,,1
Ponza,20240307,1,0,14,  76J152,13110,0,72,465,6,0,1,2,,1
Ponza,20240307,1,0,15,  76J153,13110,0,75,485,6,0,1,2,,1
Ponza,20240307,1,0,15, 80A1337,11210,0,155,650,6,2,1,2,,1
Ponza,20240307,1,0,15, 80A1338,11390,0,144,515,6,1,4,2,,1
Ponza,20240307,1,0,16, 80A1339,11390,0,150,510,6,1,3,2,,1
Ponza,20240307,1,0,16, 80A1340,11390,0,153,485,6,2,4,2,,1
Ponza,20240307,1,0,16, 80A1341,11210,0,165,680,5,0,2,2,,1
Ponza,20240307,1,0,16, 80A1342,11210,0,155,645,5,1,1,1,,1
Ponza,20240307,1,0,16,  76J154,13110,0,77,470,6,0,1,1,,1
Ponza,20240307,1,1,17, 78A3256,14620,0,122,490,6,1,5,3,,1
Ponza,20240307,1,0,17,  76J155,13110,0,79,470,6,0,4,2,,1
Ponza,20240307,1,0,18, LJ83053,16360,0,205,760,6,1,1,2,,1
Ponza,20240307,1,0,18, LJ83054,16360,0,222,740,6,1,2,2,,1
Ponza,20240307,1,0,18, SG45350,15820,0,840,1025,5,1,2,2,,1
