"Yr"	"Species"	"p50"	"p10"	"p90"	"days"
2002	"Acrocephalus arundinaceus"	0	0	0	0
2002	"Acrocephalus schoenobaenus"	132	0	0	0
2002	"Anthus trivialis"	118	0	129	0
2002	"Delichon urbicum"	135	125	0	0
2002	"Erithacus rubecula"	0	0	0	0
2002	"Ficedula albicollis"	0	0	0	0
2002	"Ficedula hypoleuca"	123	0	0	0
2002	"Hippolais icterina"	133	0	0	0
2002	"Hirundo rustica"	127	0	135	0
2002	"Iynx torquilla"	0	0	0	0
2002	"Lanius senator"	118	0	133	0
2002	"Luscinia megarinchos"	118	0	124	0
2002	"Merops apiaster"	128	0	134	0
2002	"Muscicapa striata"	132	0	0	0
2002	"Oenanthe hispanica"	0	0	0	0
2002	"Oenanthe oenanthe"	118	0	133	0
2002	"Oriolus oriolus"	118	0	0	0
2002	"Phoenicurus ochruros"	0	0	0	0
2002	"Phoenicurus phoenicurus"	132	0	0	0
2002	"Phylloscopus collybita"	118	0	0	0
2002	"Phylloscopus sibilatrix"	118	0	132	0
2002	"Phylloscopus trochilus"	118	0	0	0
2002	"Saxicola rubetra"	118	0	0	0
2002	"Saxicola torquata"	0	0	0	0
2002	"Streptopelia turtur"	132	0	0	0
2002	"Sylvia atricapilla"	0	0	0	0
2002	"Sylvia borin"	133	0	0	0
2002	"Sylvia cantillans"	118	0	0	0
2002	"Sylvia communis"	118	0	0	0
2002	"Turdus philomelos"	0	0	0	0
2002	"Upupa epops"	0	0	0	0
2003	"Acrocephalus arundinaceus"	127	0	136	0
2003	"Acrocephalus schoenobaenus"	131	0	0	0
2003	"Anthus trivialis"	109	0	0	0
2003	"Delichon urbicum"	109	0	0	0
2003	"Erithacus rubecula"	108	0	114	0
2003	"Ficedula albicollis"	109	0	132	0
2003	"Ficedula hypoleuca"	108	0	119	0
2003	"Hippolais icterina"	130	120	136	16
2003	"Hirundo rustica"	108	0	118	0
2003	"Iynx torquilla"	108	0	133	0
2003	"Lanius senator"	113	0	133	0
2003	"Luscinia megarinchos"	108	0	116	0
2003	"Merops apiaster"	115	112	121	9
2003	"Muscicapa striata"	116	0	0	0
2003	"Oenanthe hispanica"	0	0	0	0
2003	"Oenanthe oenanthe"	114	0	0	0
2003	"Oriolus oriolus"	128	0	0	0
2003	"Phoenicurus ochruros"	0	0	0	0
2003	"Phoenicurus phoenicurus"	114	0	136	0
2003	"Phylloscopus collybita"	0	0	0	0
2003	"Phylloscopus sibilatrix"	109	0	136	0
2003	"Phylloscopus trochilus"	108	0	120	0
2003	"Saxicola rubetra"	113	0	132	0
2003	"Saxicola torquata"	0	0	0	0
2003	"Streptopelia turtur"	120	0	0	0
2003	"Sylvia atricapilla"	109	0	128	0
2003	"Sylvia borin"	130	0	0	0
2003	"Sylvia cantillans"	108	0	115	0
2003	"Sylvia communis"	127	0	0	0
2003	"Turdus philomelos"	0	0	0	0
2003	"Upupa epops"	0	0	0	0
2004	"Acrocephalus arundinaceus"	133	110	139	29
2004	"Acrocephalus schoenobaenus"	116	111	0	0
2004	"Anthus trivialis"	105	0	128	0
2004	"Delichon urbicum"	111	0	0	0
2004	"Erithacus rubecula"	99	0	112	0
2004	"Ficedula albicollis"	109	103	122	19
2004	"Ficedula hypoleuca"	111	0	124	0
2004	"Fringilla coelebs"	0	0	0	0
2004	"Hippolais icterina"	142	118	0	0
2004	"Hirundo rustica"	111	0	132	0
2004	"Iynx torquilla"	117	105	123	18
2004	"Lanius senator"	122	104	127	23
2004	"Luscinia megarinchos"	111	0	127	0
2004	"Merops apiaster"	111	107	139	32
2004	"Muscicapa striata"	142	107	0	0
2004	"Oenanthe hispanica"	0	0	0	0
2004	"Oenanthe oenanthe"	117	0	129	0
2004	"Oriolus oriolus"	111	105	0	0
2004	"Phoenicurus ochruros"	0	0	0	0
